SL.,Division,Name,Address
111,CHATTOGRAM,KEPZ 2ND ATM,"Sea Orchid Tower, 139 Steel Mill Bazar, KEPZ Circle, North Potenga, KEPZ, Chattogram."
112,CHATTOGRAM,KEPZ 3rd ATM,"KEPZ Complex, west side of entrance, Old Zone Services Building, Chattogram"
113,CHATTOGRAM,KEPZ 4th ATM,"KEPZ Complex, west side of entrance, Old Zone Services Building, Chattogram"
114,CHATTOGRAM,KEPZ ATM,"Sea Orchid Tower, 139 Steel Mill Bazar, KEPZ Circle, North Patenga, KEPZ, Chattogram."
115,DHAKA,KERANIGANJ BRANCH ATM,"Dackpara Road, Shahid Nagar, Keranigonj, Dhaka"
116,DHAKA,KERANIGANJ SME BRANCH ATM,"Green Tower (1st floor), East Aganagar, Keranigonj, Dhaka"
117,CHATTOGRAM,KHATUNGONJ BRANCH ATM,"173 Khatungonj Badsha Market, Chattogram"
118,DHAKA,KHILGAON BRANCH ATM,"Farid Community Center, 574/C Khilgaon Chowdhury Para, Dhaka-1219"
119,DHAKA,KHILKHET 1ST ATM,"02/A Rajuk Trade Center, Nikunja, Dhaka"
120,DHAKA,KHILKHET 2ND ATM,"02/A Rajuk Trade Center, Nikunja, Dhaka"
121,KHULNA,KHULNA BRANCH ATM,"Taymun Centre & Properties, 181 Khan-A-Sabur Road, Shibbari More, Khulna"
122,KHULNA,KHULNA ROYAL ATM,"32/1 KDA Avenue Royal Chottor, Khulna"
123,KHULNA,KHULNA SONADANGA AFC ATM,"A-19 Mojid Soroni, Sonadanga, Khulna"
124,CHATTOGRAM,KHULSHI BRANCH ATM,"Yousuf Minar, Holding No. 51/B Zakir Hossain Road, Ward No. 13, Khulshi, Chattogram ? 4212"
125,DHAKA,KOCHUKHET SUB-BRANCH ATM,"234/6, Kochukhet Road, Mirpur, Dhaka"
126,DHAKA,KONABARI PAYROLL 1st ATM,"Tusuka Group, 420 Konabari, Neelnagar, Gazipur, Bangladesh"
127,DHAKA,KONABARI PAYROLL 2nd ATM,"Tusuka Group, 420 Konabari, Neelnagar, Gazipur, Bangladesh"
128,Chattogram,LAKSAM SUB BRANCH ATM,"M.M Tower (1st Floor) 1550 Chauddagram Road, Laksam, Cumilla"
129,DHAKA,LALBAGH ATM,"30/1 A Dhakeswary Road, Lalbagh Chowrasta, Dhaka, 1211"
130,CHATTOGRAM,LOHAGORA BRANCH ATM,"M K Shopping Center (1st Floor), Bottali Main Road, Lohagora, Chattogram"
131,DHAKA,MADHABDI BRANCH ATM,"242/1 Algi Road, Madhabdi Bazar, Madhabdi"
132,CHATTOGRAM,MAIJDEE BRANCH ATM,"Ali Plaza, Maijdee, Noakhali"
133,DHAKA,MALIBAGH ATM,"176/1 D.I.T. Road, Malibagh, Dhaka"
134,DHAKA,MAWNA BRANCH ATM,"Creative Bhaban, Mawna Chowrasta, Sreepur, Gazipur"
135,DHAKA,MAWNA GS 2nd ATM,"Green Smart Shirt Ltd. Tepirbari, Teli Hati Union, Sreepur- Mawna, Gazipur, Dhaka-1700"
136,DHAKA,MAWNA GS ATM,"Green Smart Shirt Ltd. Tepirbari, Teli Hati Union, Sreepur- Mawna, Gazipur."
137,CHATTOGRAM,MEHEDIBAGH BRANCH ATM,"Epic Emdad Heights 38 Chatteshawri Circle ( Gr. Floor), Mehdibagh, Chattogram"
138,DHAKA,MEHEDIMART BASHUNDHARA ATM,"Mehedi Mart, Road-5, Block-D, Bashundhara Residential Area, Dhaka-1229"
139,SYLHET,MIRABAZAR ATM,"Mira Tower, Mirabazar, Sylhet."
140,DHAKA,MIRPUR 10 CIRCLE ATM,"231 Central Plaza, Senpara Parbata, Mirpur, Dhaka."
141,DHAKA,MIRPUR BRANCH ATM,"Plot -17, Road-3, Block-A, Sec.-11, Mirpur, Dhaka"
142,DHAKA,MIRPUR DOHS ATM,"Opposite of Mirpur DOHS Main Gate, Shagufta Road, Holding No- 3448,  Block ?G, Shagufta Housing, Pallabi, Dhaka"
143,Dhaka,MIRPUR MAJAR ROAD ATM,"17/A 1st Colony, Majar Road, Mirpur, Dhaka"
144,DHAKA,MIRPUR ORGINAL-10 ATM,"House-01,Road- 04,Section-06, Block -A, Mirpur -10,Dhaka-1216"
145,DHAKA,MIRPUR-1 ATM,"Crescent Homes, 150/1 Shah Ali Bagh, Mirpur -1, Dhaka"
146,DHAKA,MIRPUR-1 BRANCH ATM,"10 Dar-Us- Salam Road, Mirpur-01, Dhaka-1216"
147,DHAKA,MIRPUR-2 ATM,"House No-04, Road No-09, Block - H, Mirpur-2, Dhaka-1216"
148,CHATTOGRAM,MIRSARAI ATM,"Rene Mia Master Shopping Complex,Dhaka Chattogram Highway, Po & PS: Mirsarai, Chattogram"
149,DHAKA,MIZAN TOWER,"MIZAN TOWER, 1/5 Kallyanpur, Mirpur Road, Dhaka."
150,DHAKA,MOGHBAZAR BRANCH ATM,"Shafi Complex, 1/A West Moghbazar, New Circular Road, Ramna, Dhaka"
151,DHAKA,MOHAKHALI AMTOLI ATM,"100 Mohakhali C.A., Dhaka-1212"
152,DHAKA,MOHAKHALI ATM,"Madona Tower, 28 Mohakhali C. A., Dhaka"
153,DHAKA,MOHAKHALI PARAGON ATM,05 Mohakhali Dhaka( Paragon House)
154,DHAKA,MOHAMMADIA HOUSING ATM,"House-18, Road- 02, Mohammadia Housing Society, Mohammadpur, Dhaka."
155,Dhaka,MOHAMMADPUR BUS STAND ATM,"1/1, Block-E, Satmosjid Road, Mohammadpur, Dhaka-1207"
156,DHAKA,MONIPURI PARA ATM,"20 Monipuri Para, Sangshad Avenue Road, Dhaka-1215"
157,DHAKA,MOTIJHEEL BRANCH ATM,"88 Motijheel C. A., Dhaka"
158,DHAKA,MOUCHAK BRANCH ATM,"Siddque Shopping Complex, Mouchak Union, Kaliakor, Gazipur,? Bangladesh."
159,SYLHET,MOULVIBAZAR BRANCH ATM,"26 Sylhet Trunk Road (1st Floor), Moulvibazar, Sylhet"
160,CHATTOGRAM,MURADPUR ATM,"Karims Icon, 73/74 Muradpur, Asian Highway, Chattogram"
161,CHATTOGRAM,MURADPUR BRANCH ATM,"Jumairah Fairmont Trade Center, 327 (Old) CDA Avenue, Ward: 08, Muradpur, Chattogram."
162,MYMENSINGH,MYMENSINGH SADAR ATM,"GP Regional Office, Ground Floor, Ferdous Tower, 1 Shamacharan Ray Road, Mymensingh Sadar, Mymensingh"
163,MYMENSINGH,MYMENSINGH SME BRANCH ATM,"Hamida Market , 45 Choto Bazar, Kotwaly, Mymensingh"
164,DHAKA,NARAYANGANJ BRANCH ATM,"64 BB Road (Islam Plaza), Narayanganj"
165,DHAKA,NARAYANGANJ SME BR ATM,"SS Tower, 30/14 Loyal Tank Road, Taanbazar, Narayanganj"
166,RAJSHAHI,NATORE ATM,"Pran Agro Limited,Gorosthan Bazar, Chandpur, Natore"
167,DHAKA,NAWABGANJ BRANCH ATM,"Hossain Plaza, 281 Nawabganj, Dhaka"
168,DHAKA,NAZIMUDDIN ROAD ATM,"S H Plaza, 90/91 Nazimuddin Road (Opposite Sheikh Borhanuddin College), Lalbagh, Dhaka"
169,CHATTOGRAM,NAZIRHAT BRANCH ATM,"Zaria Community Center, (Adjacent to Darbar Gate), Nazirhat, Fatikchari, Chattogram"
170,DHAKA,NEW MARKET ATM,"186 Govt. New Market, Dhaka"
