SL No,ATM Name,Address
16,"Kazi Alauddin Road FT-1, Dhaka","56/57, Haji Mohammad Saifuddin Ahmed Milon Shopping Mall, Kazi Alauddin Road, Bangshal, Dhaka-1100."
17,North South Road FT-1 ATM,"21/2 Lutfur Rahman Lane, Soritola, North South Road, Dhaka."
18,North South Road FT-2 ATM,"21/2 Lutfur Rahman Lane, Soritola, North South Road, Dhaka."
19,North South Road FT-3 ATM,"21/2 Lutfur Rahman Lane, Soritola, North South Road, Dhaka."
20,North South Road FT-4 ATM,"21/2 Lutfur Rahman Lane, Soritola, North South Road, Dhaka."
1,Dakhingaon Nandipara FT-1 ATM,"Holding-2, 4, Dakhingaon main Road, Nandipara, Ward-73, Dhaka City Corporation, Sabujbag, Dhaka."
2,Dakhingaon Nandipara FT-2 ATM,"Holding-2, 4, Dakhingaon main Road, Nandipara, Ward-73, Dhaka City Corporation, Sabujbag, Dhaka."
3,Dakhingaon Nandipara FT-3 ATM,"Holding-2, 4, Dakhingaon main Road, Nandipara, Ward-73, Dhaka City Corporation, Sabujbag, Dhaka."
4,"Sabujbagh FT-2, Dhaka ATM","Swe Saba, Holding-22, Atishdiponkar  Biswa Road  Sabujbagh, Dhaka."
5,"Sabujbagh FT-4, Dhaka ATM","Swe Saba, Holding-22, Atishdiponkar  Biswa Road  Sabujbagh, Dhaka."
6,"Sabujbagh FT-1, Dhaka ATM","Swe Saba, Holding-22, Atishdiponkar  Biswa Road  Sabujbagh, Dhaka."
7,"Sabujbagh FT-3, Dhaka ATM","Swe Saba, Holding-22, Atishdiponkar  Biswa Road  Sabujbagh, Dhaka."
8,Bashaboo FT - 4 ATM,"455, South Basaboo, Dhaka"
9,Bhoddo Mondir FT - 2 ATM,"33/1, Otish Deponkar Road, Bhoddo Mondir,  Shabuzbagh, Dhaka - 1214"
10,Bhoddo Mondir FT - 1 ATM,"33/1, Otish Deponkar Road, Bhoddo Mondir,  Shabuzbagh, Dhaka - 1214"
11,Bhoddo Mondir FT - 3 ATM,"33/1, Otish Deponkar Road, Bhoddo Mondir,  Shabuzbagh, Dhaka - 1214"
12,Bhoddo Mondir FT - 4 ATM,"33/1, Otish Deponkar Road, Bhoddo Mondir,  Shabuzbagh, Dhaka - 1214"
13,"Kadamtola, Dhaka FT - 4 ATM","S F Sky view Tower, Shop # 10, 65/3 WASA Road, Kadamtola, Dhaka"
14,"Kadamtola, Dhaka FT - 1 ATM","S F Sky view Tower, Shop # 10, 65/3 WASA Road, Kadamtola, Dhaka"
15,"Kadamtola, Dhaka FT - 2 ATM","S F Sky view Tower, Shop # 10, 65/3 WASA Road, Kadamtola, Dhaka"
16,"Kadamtola, Dhaka FT - 3 ATM","S F Sky view Tower, Shop # 10, 65/3 WASA Road, Kadamtola, Dhaka"
17,"Nandipara Bazar FT - 1, DHK ATM","Nandipara Bazar, Trimohoni Road, Khilgaon, Dhaka"
18,"Nandipara Bazar FT - 2, DHK ATM","Nandipara Bazar, Trimohoni Road, Khilgaon, Dhaka"
19,"Nandipara Bazar FT - 3, DHK ATM","Nandipara Bazar, Trimohoni Road, Khilgaon, Dhaka"
20,"Nandipara Bazar FT - 4, DHK ATM","Nandipara Bazar, Trimohoni Road, Khilgaon, Dhaka"
21,South Bashaboo FT - 1 ATM,"111/1, South Basabo, Biswaroad, (Near Flyover), Dhaka"
22,South Bashaboo FT - 2 ATM,"111/1, South Basabo, Biswaroad, (Near Flyover), Dhaka"
23,South Bashaboo FT - 3 ATM,"111/1, South Basabo, Biswaroad, (Near Flyover), Dhaka"
24,South Bashaboo FT - 4 ATM,"111/1, South Basabo, Biswaroad, (Near Flyover), Dhaka"
25,Bashaboo FT - 2 ATM,"455, South Basaboo, Dhaka"
26,Bashaboo FT - 3 ATM,"455, South Basaboo, Dhaka"
27,Bashaboo FT - 1 ATM,"455, South Basaboo, Dhaka"
1,"Barua, Khilkhet FT - 1, Dhaka ","26, Barua, Grameen Bank Road, Ward No - 48, Khilkhet, Dhaka"
2,"Barua, Khilkhet FT - 3, Dhaka ","26, Barua, Grameen Bank Road, Ward No - 48, Khilkhet, Dhaka"
3,"Barua, Khilkhet FT - 2, Dhaka ","26, Barua, Grameen Bank Road, Ward No - 48, Khilkhet, Dhaka"
4,Kuril Chowrasta Sub Branch FT ,"Ka 66/1, Azahar Plaza, Kuril Chowrasta, Progoti Soroni, Dhaka-1229"
5,"Bashundhara R/A FT-1, Dhaka","BDDL Badar Heights, Plot-262 and 263, Block-B, Bashundhara R/A, Baridhara, Dhaka-1229."
6,"Bashundhara R/A FT-2, Dhaka","BDDL Badar Heights, Plot-262 and 263, Block-B, Bashundhara R/A, Baridhara, Dhaka-1229."
7,Evercare Hospital Dhaka,"Apollo Hospital, Baridhara, Dhaka-1206"
8,Kuril FT - 4 ATM,"Kazi Tower, 57/1, Kuril, Bishawroad, Progati Sarani, Dhaka - 1219"
9,Nadda - Pragati Sarani FT - 5 ATM,"Ka - 40/2, 43/7  Jagannathpur, Pragati Sarani, Nadda, Dhaka"
10,Nadda - Pragati Sarani FT - 6 ATM,"Ka - 40/2, 43/7  Jagannathpur, Pragati Sarani, Nadda, Dhaka"
